Name,DisplayName,Code,Description
Business Applications,Business Applications,BIZ,Business Applications
Security,Security,SEC,Security
Migration & Transfer,Migration,MIGRATE,Migration & Transfer
Healthcare & Life Sciences,Healthcare & Life Sciences,HEALTH,Healthcare & Life Sciences
DevOps,Application Development,DEVOPS,DevOps
Media & Entertainment,Media & Entertainment,MEDIA,Media & Entertainment
Data Analytics,Data Analytics,DATA,Data Analytics
Artificial Intelligence,Machine Learning,AI,Artificial Intelligence
Storage,Storage,STORAGE,Storage
Networking & Content Delivery,Network Infrastructure,NETWORK,Networking & Content Delivery
Financial Services,Financial Services,FIN,Financial Services
Training,Training,TRAIN,Training
IoT,IoT,IOT,IoT
Machine Learning,Machine Learning,ML,Machine Learning
Developer Tools,DevOps,DEV,Developer Tools
